country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Aruba,,,,,,3,,,,,,,,,17,,,18,18,15,,14,,
Afghanistan,,,,,,,,,,,,,,,,,,8420,,7960,,,10.6k,
Angola,,,,,,,,,,,,,,,,,,7650,,8870,,,6430,
Anguilla,,,,,,,,,,,,,,,,2,1,,,,,,,
Albania,,,,,,,,,,,,,,,,,,79,,383,,,445,
Andorra,,,,,,,,,,,,,,,,,,10,,10,,,,
Netherlands Antilles,,,,14,24,24,34,29,19,24,28,21,14,23,23,26,,,,,,,,
UAE,,,,,,,,,,,,,,,,,,1490,,935,,,1630,
Argentina,,,,,,,,,,,,,5380,6040,5780,5280,5100,4390,4930,3690,5230,6040,5430,
Armenia,,,,,,,,,,,,,,,,,,325,,371,,,417,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8,,6,,,,
Australia,,,,,,,,,,,,,,,,,,1680,,1560,,,1620,
Austria,,,,,,,,,,,,,,,1010,907,912,844,953,806,812,778,691,763
Azerbaijan,,,,,,,,,,,,,,,,,,448,,415,,,1100,
Burundi,,,,,,,,,,,,,,,,,,1800,,2580,,,1990,
Belgium,,,,,,,,,1960,2050,1750,,1600,1760,1750,,,1390,,1380,,,1070,
Benin,,,,,,,,,,,,,,,,,,2060,,1740,,,2820,
Burkina Faso,,,,,,,,,,,,,,,,,,5090,,3860,,,4600,
Bangladesh,,,,,,,,,,,,,,,,,,19.3k,,21.2k,,,20k,
Bulgaria,,,,,,,,,,,,,,,,,,961,,936,918,1070,1010,1070
Bahrain,,,,,,,,,,,,,117,138,21,75,90,85,,91,,,91,
Bahamas,,,,,,,,,,,,,,,,,,62,,69,,,48,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,177,,153,,,428,
Belarus,,,,,,,,,,,,,,,,,,1710,,2290,,,1520,
Belize,,,,,,,,,,,,,,,,,,80,,98,,68,,
Bermuda,,,,,,,,,,,,4,5,12,9,5,10,4,4,1,19,15,,
Bolivia,,,,,,,,,,,,,,,,,,1530,,1480,,,1590,
Brazil,,,,,,,,,,,,42.6k,42k,36.3k,35.8k,35.1k,34.9k,34.9k,37k,40.4k,39.9k,35.2k,,
Barbados,,,,,,,,,,,,,,,,,,18,,38,,,36,
Brunei,,,,,,,,,,,,,,,,,,56,,54,,,54,
Bhutan,,,,,,,,,,,,,,,,,,317,,88,,,95,
Botswana,,,,,,,,,,,,,,,,,,289,,393,,,636,
Central African Republic,,,,,,,,,,,,,,,,,,1320,,1390,,,1400,
Canada,,,,,,,,,,,,,3360,3280,3400,3100,2950,2710,3000,2740,,2890,,
Switzerland,,,,,,,,,,,,,,,,,,430,,466,,370,,
Chile,,,,,,,,,,,,,2610,2700,2050,2510,2370,2310,2350,2140,2340,2280,,
China,,,,,,,,,,,,,,,,,,250k,,285k,,,221k,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,6180,,9700,,,,
Cameroon,,,,,,,,,,,,,,,,,,5160,,4430,,,5210,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,19k,,18.9k,,,20.2k,
"Congo, Rep.",,,,,,,,,,,,,,,,,,848,,792,,,1080,
Cook Is,,,,,,,,,,,,,,,,,,2,,1,,,6,
Colombia,,,,,,,,,,,,,,,,,,8060,,8880,,,5410,
Comoros,,,,,,,,,,,,,,,,,,149,,111,,,254,
Cape Verde,,,,,,,,,,,,,,,,,,43,,76,,,133,
Costa Rica,,,,,,,,,,,,,646,699,746,773,733,742,721,666,666,804,688,
Cuba,,,,,,,,,,,,,,,,1830,1570,1480,1280,1210,1290,1100,964,
Cayman Islands,,,,,,,,,,,,,,1,6,3,,6,3,4,,,,
Cyprus,,,,,,,,,,,,,,,,,,214,,186,,,89,
Czech Republic,,,,,,,,,,1740,1700,1600,1680,1450,1600,1580,1500,1020,1520,1000,1320,1100,1220,1270
Germany,,,,,,,,,,,,,,7970,8080,7840,7340,7110,6920,6040,5730,5430,4950,
Djibouti,,,,,,,,,,,,,,,,,,230,,238,,,,
Dominica,,,,,,,,,,,,,,,,,,14,,4,,,,
Denmark,,,,,,,,,,572,619,531,499,521,525,616,595,462,529,426,450,420,,
